Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
index (middle)/100/[] (!!),4.871791000974063e-8,4.855044465678997e-8,4.905681365896155e-8,7.920312071431178e-10,4.609685440834397e-10,1.326598052299978e-9
index (middle)/100/Vector,8.440077157934507e-9,8.436662078199757e-9,8.447473304928752e-9,1.5793304842477908e-11,7.184049009360697e-12,2.7978041503306018e-11
index (middle)/100/PVector,1.1480966259898872e-8,1.14639918299406e-8,1.14987996546515e-8,5.7235428317994133e-11,4.4707877756009265e-11,7.625485092998422e-11
index (middle)/100/Seq,2.6514696545725595e-8,2.6487066208821718e-8,2.6538058561488222e-8,8.840285830356428e-11,7.058255926571872e-11,1.215313577167423e-10
index (middle)/1000/[] (!!),6.210776389575602e-7,6.208872881757445e-7,6.214736514769797e-7,9.035887887139172e-10,5.771832453069892e-10,1.5645337358935984e-9
index (middle)/1000/Vector,8.219204780976728e-9,8.208302382630463e-9,8.23220716735822e-9,4.123715567656785e-11,3.2428267916122645e-11,5.812904258408582e-11
index (middle)/1000/PVector,1.159849231174315e-8,1.1542610056302643e-8,1.1763727034724064e-8,2.887015614210281e-10,8.610116209319185e-11,5.841769561349644e-10
index (middle)/1000/Seq,4.186486785578963e-8,4.175335884800027e-8,4.2091964163731984e-8,5.155930079930023e-10,3.0796758738881336e-10,9.32264927172473e-10
index (middle)/10000/[] (!!),6.85514012537629e-6,6.8376930105380985e-6,6.894201967401006e-6,8.468652318644493e-8,1.7985329062708206e-8,1.4038433181745554e-7
index (middle)/10000/Vector,8.475603857122068e-9,8.339799272458005e-9,8.71255653079944e-9,5.932133628508108e-10,4.1169915768625146e-10,9.048666007989586e-10
index (middle)/10000/PVector,1.2271549546931694e-8,1.2246336344765177e-8,1.2328252827186216e-8,1.1809098163359832e-10,6.66310981276254e-11,2.1496849888108527e-10
index (middle)/10000/Seq,5.460586470562615e-8,5.4361089623957865e-8,5.505685838547088e-8,1.0436138526418735e-9,5.583435924794299e-10,1.7110285871063468e-9
head/100/[],8.420804007381687e-9,8.34908340285463e-9,8.533045595211085e-9,3.273566891134614e-10,2.051333356855133e-10,5.209818532240325e-10
head/100/Vector,8.096064278899912e-9,8.034494543065067e-9,8.244749098393106e-9,2.9909854553404477e-10,1.2414779589179966e-10,4.923204198330006e-10
head/100/PVector,1.138879801697128e-8,1.1259430238057925e-8,1.1618256387122183e-8,5.626161429561606e-10,3.13066119562962e-10,9.984832708477345e-10
head/100/Seq,1.0859369110581832e-8,1.0819878313420098e-8,1.0905365172208971e-8,1.4219930405060644e-10,1.1586085777072016e-10,1.8038736161663182e-10
head/1000/[],8.385090866795335e-9,8.36296872542345e-9,8.409723861629117e-9,8.261527183088599e-11,6.762758953136945e-11,1.0314932810987215e-10
head/1000/Vector,8.010305700496057e-9,7.996069852361243e-9,8.036264424250199e-9,6.216383849800526e-11,3.96492015343125e-11,9.901257420129704e-11
head/1000/PVector,1.1299893580261043e-8,1.1235776727195346e-8,1.1374987738860803e-8,2.2816584395724598e-10,1.8639134074626453e-10,2.836570862309297e-10
head/1000/Seq,1.0752298308246728e-8,1.0715612597321509e-8,1.0799952346605897e-8,1.3333803001377772e-10,1.0388608145880109e-10,1.7299759196478667e-10
head/10000/[],8.209331138049771e-9,8.192590802426615e-9,8.24209063710193e-9,7.880086632872833e-11,3.383538600448763e-11,1.2408785019204983e-10
head/10000/Vector,7.964368515943206e-9,7.961360852420065e-9,7.970441491493503e-9,1.3543565135804224e-11,6.737923011019222e-12,2.3622416699912597e-11
